Porto[6041] numero 6: (205.03, 237.80) - 5 banchine
Porto[6098] numero 63: (943.46, 960.54) - 3 banchine
Porto[6099] numero 64: (569.38, 605.01) - 8 banchine
Porto[6086] numero 51: (402.98, 419.58) - 5 banchine
Porto[6093] numero 58: (492.66, 524.54) - 2 banchine
Porto[6094] numero 59: (579.99, 594.84) - 5 banchine
Porto[6186] numero 151: (936.55, 969.79) - 10 banchine
Porto[6100] numero 65: (571.94, 587.32) - 1 banchine
Porto[6101] numero 66: (479.14, 494.08) - 6 banchine
Porto[6102] numero 67: (210.25, 225.73) - 5 banchine
Porto[6103] numero 68: (332.05, 347.19) - 9 banchine
Porto[6105] numero 70: (564.50, 596.81) - 8 banchine
Porto[6095] numero 60: (756.89, 772.44) - 7 banchine
Porto[6104] numero 69: (677.07, 692.59) - 8 banchine
Porto[6113] numero 78: (452.08, 468.94) - 3 banchine
Porto[6117] numero 82: (394.77, 408.92) - 9 banchine
Porto[6124] numero 89: (980.40, 995.39) - 1 banchine
Porto[6118] numero 83: (713.50, 746.64) - 3 banchine
Porto[6133] numero 98: (136.88, 151.90) - 3 banchine
Porto[6135] numero 100: (28.51, 43.79) - 9 banchine
Porto[6134] numero 99: (490.51, 505.59) - 7 banchine
Porto[6110] numero 75: (233.27, 265.15) - 1 banchine
Porto[6155] numero 120: (782.29, 797.73) - 1 banchine
Porto[6158] numero 123: (109.27, 124.15) - 2 banchine
Porto[6156] numero 121: (310.36, 325.55) - 2 banchine
Porto[6164] numero 129: (519.06, 552.24) - 10 banchine
Porto[6162] numero 127: (430.04, 461.81) - 5 banchine
Porto[6166] numero 131: (879.17, 910.72) - 3 banchine
Porto[6165] numero 130: (313.06, 328.06) - 1 banchine
Porto[6168] numero 133: (396.66, 411.86) - 8 banchine
Porto[6170] numero 135: (691.32, 706.37) - 9 banchine
Porto[6169] numero 134: (715.65, 735.44) - 6 banchine
Porto[6116] numero 81: (807.99, 841.62) - 1 banchine
Porto[6112] numero 77: (855.53, 870.93) - 4 banchine
Porto[6108] numero 73: (926.80, 941.46) - 4 banchine
Porto[6109] numero 74: (95.76, 110.89) - 4 banchine
Porto[6115] numero 80: (335.37, 368.02) - 3 banchine
Porto[6125] numero 90: (102.96, 117.74) - 8 banchine
Porto[6123] numero 88: (452.38, 486.21) - 4 banchine
Porto[6131] numero 96: (197.64, 233.03) - 7 banchine
Porto[6122] numero 87: (332.21, 365.86) - 10 banchine
Porto[6132] numero 97: (662.36, 698.26) - 4 banchine
Porto[6119] numero 84: (874.41, 890.17) - 4 banchine
Porto[6107] numero 72: (604.15, 619.39) - 10 banchine
Porto[6136] numero 101: (234.68, 248.98) - 6 banchine
Porto[6106] numero 71: (821.04, 835.37) - 10 banchine
Porto[6137] numero 102: (952.40, 966.44) - 1 banchine
Porto[6111] numero 76: (303.76, 342.19) - 4 banchine
Porto[6138] numero 103: (157.87, 172.84) - 3 banchine
Porto[6148] numero 113: (860.91, 891.12) - 5 banchine
Porto[6149] numero 114: (19.11, 178.94) - 1 banchine
Porto[6150] numero 115: (328.11, 342.29) - 3 banchine
Porto[6151] numero 116: (897.37, 929.43) - 2 banchine
Porto[6152] numero 117: (384.04, 414.49) - 10 banchine
Porto[6114] numero 79: (70.96, 85.25) - 3 banchine
Porto[6153] numero 118: (344.52, 375.97) - 1 banchine
Porto[6154] numero 119: (972.29, 5.00) - 2 banchine
Porto[6126] numero 91: (774.65, 791.95) - 1 banchine
Porto[6197] numero 162: (860.90, 899.03) - 1 banchine
Porto[6159] numero 124: (444.59, 459.41) - 1 banchine
Porto[6157] numero 122: (584.21, 598.63) - 4 banchine
Porto[6160] numero 125: (116.86, 147.28) - 10 banchine
Porto[6161] numero 126: (709.05, 724.41) - 3 banchine
Porto[6163] numero 128: (753.34, 768.07) - 10 banchine
Porto[6209] numero 174: (26.48, 42.31) - 7 banchine
Porto[6121] numero 86: (245.62, 279.86) - 7 banchine
Porto[6120] numero 85: (756.35, 791.93) - 1 banchine
Porto[6140] numero 105: (590.45, 606.89) - 6 banchine
Porto[6141] numero 106: (451.74, 467.62) - 9 banchine
Porto[6142] numero 107: (188.34, 224.24) - 2 banchine
Porto[6211] numero 176: (883.74, 899.72) - 9 banchine
Porto[6214] numero 179: (697.37, 733.61) - 9 banchine
Porto[6167] numero 132: (519.35, 534.00) - 8 banchine
Porto[6171] numero 136: (98.69, 136.74) - 8 banchine
Porto[6172] numero 137: (215.90, 248.19) - 7 banchine
Porto[6173] numero 138: (401.01, 415.58) - 2 banchine
Porto[6174] numero 139: (780.52, 796.04) - 4 banchine
Porto[6175] numero 140: (271.48, 285.64) - 2 banchine
Porto[6176] numero 141: (149.81, 164.12) - 3 banchine
Porto[6143] numero 108: (57.07, 90.75) - 9 banchine
Porto[6198] numero 163: (328.94, 345.73) - 3 banchine
Porto[6216] numero 181: (617.02, 652.49) - 8 banchine
Porto[6144] numero 109: (758.65, 775.53) - 1 banchine
Porto[6221] numero 186: (237.66, 254.92) - 9 banchine
Porto[6145] numero 110: (658.09, 675.20) - 4 banchine
Porto[6146] numero 111: (148.08, 164.43) - 3 banchine
Porto[6224] numero 189: (254.87, 295.09) - 5 banchine
Porto[6232] numero 197: (265.11, 300.21) - 4 banchine
Porto[6247] numero 212: (841.54, 858.06) - 5 banchine
Porto[6127] numero 92: (814.05, 831.11) - 1 banchine
Porto[6252] numero 217: (215.20, 229.27) - 1 banchine
Porto[6200] numero 165: (501.29, 537.93) - 5 banchine
Porto[6253] numero 218: (359.23, 392.25) - 10 banchine
Porto[6177] numero 142: (505.48, 521.06) - 8 banchine
Porto[6128] numero 93: (452.87, 470.24) - 8 banchine
Porto[6206] numero 171: (16.50, 33.71) - 1 banchine
Porto[6254] numero 219: (437.91, 452.59) - 3 banchine
Porto[6178] numero 143: (291.17, 324.35) - 8 banchine
Porto[6129] numero 94: (827.97, 845.18) - 4 banchine
Porto[6203] numero 168: (737.44, 774.97) - 2 banchine
Porto[6256] numero 221: (651.14, 665.23) - 4 banchine
Porto[6258] numero 223: (638.82, 653.28) - 8 banchine
Porto[6259] numero 224: (728.02, 742.17) - 5 banchine
Porto[6130] numero 95: (471.91, 489.07) - 8 banchine
Porto[6147] numero 112: (202.29, 218.20) - 6 banchine
Porto[6219] numero 184: (380.45, 396.58) - 4 banchine
Porto[6229] numero 194: (935.42, 971.48) - 9 banchine
Porto[6225] numero 190: (279.04, 294.91) - 3 banchine
Porto[6179] numero 144: (635.10, 649.33) - 2 banchine
Porto[6139] numero 104: (741.45, 758.35) - 6 banchine
Porto[6234] numero 199: (413.79, 430.29) - 8 banchine
Porto[6237] numero 202: (753.53, 768.96) - 5 banchine
Porto[6239] numero 204: (74.67, 91.30) - 8 banchine
Porto[6242] numero 207: (652.73, 687.66) - 4 banchine
Porto[6243] numero 208: (952.02, 988.52) - 6 banchine
Porto[6250] numero 215: (298.38, 331.09) - 1 banchine
Porto[6205] numero 170: (731.79, 747.72) - 4 banchine
Porto[6251] numero 216: (97.46, 113.96) - 6 banchine
Porto[6180] numero 145: (757.73, 772.40) - 4 banchine
Porto[6207] numero 172: (579.33, 596.45) - 4 banchine
Porto[6204] numero 169: (622.62, 640.61) - 10 banchine
Porto[6208] numero 173: (35.09, 71.85) - 3 banchine
Porto[6202] numero 167: (246.53, 263.86) - 9 banchine
Porto[6210] numero 175: (914.91, 930.66) - 5 banchine
Porto[6201] numero 166: (181.55, 197.90) - 7 banchine
Porto[6212] numero 177: (244.37, 260.33) - 10 banchine
Porto[6199] numero 164: (714.23, 730.64) - 10 banchine
Porto[6213] numero 178: (476.84, 512.89) - 1 banchine
Porto[6215] numero 180: (882.48, 899.10) - 6 banchine
Porto[6217] numero 182: (702.86, 718.75) - 2 banchine
Porto[6218] numero 183: (193.93, 210.78) - 4 banchine
Porto[6220] numero 185: (305.47, 322.16) - 4 banchine
Porto[6181] numero 146: (788.96, 803.70) - 2 banchine
Porto[6222] numero 187: (846.05, 882.51) - 8 banchine
Porto[6223] numero 188: (373.89, 390.89) - 4 banchine
Porto[6226] numero 191: (616.17, 632.62) - 4 banchine
Porto[6227] numero 192: (899.01, 916.51) - 9 banchine
Porto[6228] numero 193: (24.74, 42.71) - 9 banchine
Porto[6255] numero 220: (467.63, 484.78) - 1 banchine
Porto[6182] numero 147: (669.17, 683.57) - 10 banchine
Porto[6230] numero 195: (195.20, 212.59) - 7 banchine
Porto[6231] numero 196: (35.13, 70.97) - 10 banchine
Porto[6233] numero 198: (418.24, 435.04) - 8 banchine
Porto[6235] numero 200: (951.91, 968.92) - 9 banchine
Porto[6236] numero 201: (260.68, 276.61) - 3 banchine
Porto[6238] numero 203: (731.37, 767.46) - 1 banchine
Porto[6257] numero 222: (649.37, 685.17) - 8 banchine
Porto[6240] numero 205: (857.28, 873.73) - 6 banchine
Porto[6241] numero 206: (152.69, 169.32) - 9 banchine
Porto[6244] numero 209: (552.73, 569.17) - 7 banchine
Porto[6245] numero 210: (676.67, 692.09) - 8 banchine
Porto[6246] numero 211: (102.19, 116.99) - 4 banchine
Porto[6248] numero 213: (286.57, 301.25) - 8 banchine
Porto[6249] numero 214: (522.66, 537.48) - 2 banchine
Porto[6183] numero 148: (115.01, 151.56) - 10 banchine
Porto[6184] numero 149: (539.58, 569.68) - 9 banchine
Porto[6185] numero 150: (971.27, 985.78) - 5 banchine
Porto[6194] numero 159: (40.50, 54.46) - 8 banchine
Porto[6187] numero 152: (42.21, 73.17) - 2 banchine
Porto[6188] numero 153: (722.58, 737.05) - 2 banchine
Porto[6189] numero 154: (549.54, 565.30) - 7 banchine
Porto[6190] numero 155: (564.42, 579.67) - 5 banchine
Porto[6191] numero 156: (847.73, 884.30) - 2 banchine
Porto[6266] numero 231: (800.57, 815.89) - 7 banchine
Porto[6267] numero 232: (432.25, 464.55) - 6 banchine
Porto[6268] numero 233: (571.52, 602.63) - 2 banchine
Porto[6269] numero 234: (149.50, 163.70) - 4 banchine
Porto[6270] numero 235: (57.68, 72.23) - 2 banchine
Porto[6271] numero 236: (708.86, 723.67) - 7 banchine
Porto[6272] numero 237: (278.21, 295.05) - 10 banchine
Porto[6319] numero 284: (930.73, 963.14) - 4 banchine
Porto[6263] numero 228: (8.03, 23.13) - 2 banchine
Porto[6273] numero 238: (38.92, 54.97) - 4 banchine
Porto[6262] numero 227: (270.91, 303.06) - 8 banchine
Porto[6279] numero 244: (51.49, 66.78) - 10 banchine
Porto[6192] numero 157: (897.90, 912.52) - 8 banchine
Porto[6280] numero 245: (823.88, 856.39) - 9 banchine
Porto[6264] numero 229: (53.88, 68.87) - 6 banchine
Porto[6281] numero 246: (682.61, 697.73) - 3 banchine
Porto[6261] numero 226: (281.08, 295.83) - 5 banchine
Porto[6282] numero 247: (359.30, 391.05) - 4 banchine
Porto[6265] numero 230: (329.78, 345.08) - 9 banchine
Porto[6283] numero 248: (597.15, 611.86) - 9 banchine
Porto[6287] numero 252: (290.30, 305.08) - 1 banchine
Porto[6288] numero 253: (53.35, 67.56) - 9 banchine
Porto[6274] numero 239: (27.89, 42.42) - 3 banchine
Porto[6289] numero 254: (530.20, 544.31) - 6 banchine
Porto[6275] numero 240: (441.16, 456.99) - 1 banchine
Porto[6292] numero 257: (993.31, 26.47) - 2 banchine
Porto[6276] numero 241: (321.35, 337.22) - 10 banchine
Porto[6293] numero 258: (970.88, 986.87) - 7 banchine
Porto[6277] numero 242: (388.24, 403.28) - 4 banchine
Porto[6278] numero 243: (458.83, 473.68) - 10 banchine
Porto[6284] numero 249: (331.99, 346.74) - 3 banchine
Porto[6285] numero 250: (360.52, 378.02) - 5 banchine
Porto[6286] numero 251: (359.83, 374.77) - 6 banchine
Porto[6260] numero 225: (77.09, 110.10) - 6 banchine
Porto[6294] numero 259: (405.48, 420.50) - 4 banchine
Porto[6290] numero 255: (938.67, 955.68) - 9 banchine
Porto[6193] numero 158: (567.00, 581.87) - 4 banchine
Porto[6297] numero 262: (924.47, 938.38) - 5 banchine
Porto[6196] numero 161: (535.40, 549.62) - 2 banchine
Porto[6291] numero 256: (830.90, 845.71) - 1 banchine
Porto[6195] numero 160: (886.87, 917.70) - 10 banchine
Porto[6296] numero 261: (859.47, 891.12) - 5 banchine
Porto[6332] numero 297: (207.51, 221.71) - 5 banchine
Porto[6301] numero 266: (546.49, 560.84) - 5 banchine
Porto[6302] numero 267: (699.03, 714.28) - 3 banchine
Porto[6304] numero 269: (589.21, 604.04) - 6 banchine
Porto[6303] numero 268: (519.03, 534.34) - 7 banchine
Porto[6305] numero 270: (442.33, 457.37) - 1 banchine
Porto[6300] numero 265: (910.71, 925.47) - 7 banchine
Porto[6306] numero 271: (599.57, 614.32) - 7 banchine
Porto[6299] numero 264: (496.95, 527.64) - 2 banchine
Porto[6307] numero 272: (163.23, 177.26) - 2 banchine
Porto[6298] numero 263: (719.56, 749.96) - 5 banchine
Porto[6308] numero 273: (267.82, 281.63) - 3 banchine
Porto[6295] numero 260: (466.21, 496.70) - 3 banchine
Porto[6311] numero 276: (851.62, 866.36) - 1 banchine
Porto[6309] numero 274: (244.25, 258.64) - 8 banchine
Porto[6312] numero 277: (510.38, 525.45) - 2 banchine
Porto[6313] numero 278: (251.01, 284.67) - 8 banchine
Porto[6316] numero 281: (729.34, 744.40) - 2 banchine
Porto[6317] numero 282: (372.86, 387.61) - 1 banchine
Porto[6318] numero 283: (451.25, 466.65) - 7 banchine
Porto[6321] numero 286: (246.36, 278.43) - 4 banchine
Porto[6310] numero 275: (201.81, 232.87) - 9 banchine
Porto[6314] numero 279: (495.94, 510.98) - 2 banchine
Porto[6315] numero 280: (260.80, 275.78) - 10 banchine
Porto[6320] numero 285: (69.36, 102.81) - 8 banchine
Porto[6333] numero 298: (711.80, 725.78) - 9 banchine
Porto[6330] numero 295: (461.53, 475.98) - 5 banchine
Porto[6337] numero 302: (261.42, 293.06) - 8 banchine
Porto[6360] numero 325: (159.39, 174.92) - 3 banchine
Porto[6329] numero 294: (672.08, 686.97) - 9 banchine
Porto[6338] numero 303: (313.23, 330.21) - 8 banchine
Porto[6339] numero 304: (17.23, 31.95) - 7 banchine
Porto[6340] numero 305: (133.40, 147.61) - 1 banchine
Porto[6345] numero 310: (671.17, 685.27) - 3 banchine
Porto[6346] numero 311: (707.77, 738.54) - 6 banchine
Porto[6349] numero 314: (609.95, 644.36) - 9 banchine
Porto[6350] numero 315: (278.86, 294.37) - 8 banchine
Porto[6351] numero 316: (20.10, 51.53) - 6 banchine
Porto[6355] numero 320: (410.39, 440.90) - 5 banchine
Porto[6356] numero 321: (970.83, 985.05) - 4 banchine
Porto[6357] numero 322: (430.75, 461.87) - 3 banchine
Porto[6362] numero 327: (252.21, 266.55) - 5 banchine
Porto[6363] numero 328: (63.53, 77.77) - 8 banchine
Porto[6364] numero 329: (741.30, 755.89) - 2 banchine
Porto[6365] numero 330: (518.10, 532.27) - 1 banchine
Porto[6369] numero 334: (236.42, 251.35) - 7 banchine
Porto[6370] numero 335: (4.32, 37.89) - 1 banchine
Porto[6371] numero 336: (183.42, 198.59) - 10 banchine
Porto[6375] numero 340: (958.40, 973.57) - 8 banchine
Porto[6376] numero 341: (548.80, 563.65) - 2 banchine
Porto[6325] numero 290: (103.26, 136.33) - 3 banchine
Porto[6328] numero 293: (95.24, 109.81) - 7 banchine
Porto[6334] numero 299: (288.16, 302.40) - 3 banchine
Porto[6335] numero 300: (29.48, 44.00) - 9 banchine
Porto[6336] numero 301: (307.82, 322.45) - 8 banchine
Porto[6341] numero 306: (986.10, 0.88) - 4 banchine
Porto[6342] numero 307: (795.81, 828.79) - 4 banchine
Porto[6343] numero 308: (618.72, 633.55) - 10 banchine
Porto[6327] numero 292: (777.49, 792.67) - 4 banchine
Porto[6383] numero 348: (197.37, 211.43) - 2 banchine
Porto[6344] numero 309: (714.58, 746.19) - 5 banchine
Porto[6347] numero 312: (954.86, 969.66) - 8 banchine
Porto[6348] numero 313: (439.58, 469.94) - 8 banchine
Porto[6352] numero 317: (616.04, 647.20) - 5 banchine
Porto[6353] numero 318: (177.78, 208.36) - 10 banchine
Porto[6354] numero 319: (576.11, 591.18) - 5 banchine
Porto[6358] numero 323: (305.92, 320.46) - 6 banchine
Porto[6359] numero 324: (596.35, 611.56) - 1 banchine
Porto[6377] numero 342: (896.18, 913.28) - 5 banchine
Porto[6326] numero 291: (294.45, 309.32) - 9 banchine
Porto[6361] numero 326: (211.15, 243.81) - 2 banchine
Porto[6322] numero 287: (999.97, 14.87) - 9 banchine
Porto[6366] numero 331: (512.27, 527.11) - 6 banchine
Porto[6324] numero 289: (194.04, 209.11) - 9 banchine
Porto[6367] numero 332: (285.79, 300.92) - 4 banchine
Porto[6323] numero 288: (858.71, 873.86) - 9 banchine
Porto[6331] numero 296: (569.01, 584.00) - 5 banchine
Porto[6368] numero 333: (699.97, 731.84) - 2 banchine
Porto[6372] numero 337: (392.68, 424.37) - 8 banchine
Porto[6373] numero 338: (310.23, 325.76) - 7 banchine
Porto[6374] numero 339: (995.79, 28.57) - 4 banchine
Porto[6435] numero 400: (4.08, 18.51) - 8 banchine
Porto[6387] numero 352: (513.18, 527.37) - 10 banchine
Porto[6379] numero 344: (195.78, 210.01) - 5 banchine
Porto[6388] numero 353: (607.65, 622.07) - 6 banchine
Porto[6380] numero 345: (977.38, 991.84) - 1 banchine
Porto[6389] numero 354: (164.58, 179.50) - 3 banchine
Porto[6384] numero 349: (691.10, 722.55) - 8 banchine
Porto[6385] numero 350: (507.85, 522.80) - 4 banchine
Porto[6386] numero 351: (20.76, 35.88) - 6 banchine
Porto[6398] numero 363: (30.35, 45.80) - 5 banchine
Porto[6441] numero 406: (503.37, 519.09) - 8 banchine
Porto[6378] numero 343: (773.26, 805.31) - 10 banchine
Porto[6391] numero 356: (263.94, 279.14) - 9 banchine
Porto[6394] numero 359: (504.80, 519.38) - 8 banchine
Porto[6392] numero 357: (557.11, 571.57) - 5 banchine
Porto[6400] numero 365: (658.76, 672.80) - 3 banchine
Porto[6393] numero 358: (972.88, 987.14) - 8 banchine
Porto[6382] numero 347: (80.92, 97.93) - 4 banchine
Porto[6410] numero 375: (993.42, 26.26) - 4 banchine
Porto[6381] numero 346: (335.40, 367.02) - 4 banchine
Porto[6411] numero 376: (794.60, 809.22) - 10 banchine
Porto[6412] numero 377: (866.56, 881.63) - 10 banchine
Porto[6413] numero 378: (624.03, 657.99) - 6 banchine
Porto[6414] numero 379: (618.78, 634.00) - 6 banchine
Porto[6415] numero 380: (488.86, 503.78) - 3 banchine
Porto[6432] numero 397: (372.14, 387.05) - 3 banchine
Porto[6390] numero 355: (394.73, 409.28) - 7 banchine
Porto[6433] numero 398: (329.97, 344.44) - 2 banchine
Porto[6434] numero 399: (947.97, 962.45) - 5 banchine
Porto[6395] numero 360: (892.00, 922.82) - 10 banchine
Porto[6396] numero 361: (731.94, 763.78) - 10 banchine
Porto[6399] numero 364: (2.30, 32.58) - 4 banchine
Porto[6401] numero 366: (147.26, 177.73) - 2 banchine
Porto[6402] numero 367: (641.43, 671.08) - 8 banchine
Porto[6407] numero 372: (860.35, 875.28) - 4 banchine
Porto[6408] numero 373: (442.62, 457.43) - 1 banchine
Porto[6409] numero 374: (836.05, 851.02) - 4 banchine
Porto[6416] numero 381: (706.11, 736.79) - 6 banchine
Porto[6436] numero 401: (25.18, 40.34) - 1 banchine
Porto[6417] numero 382: (940.45, 972.16) - 1 banchine
Porto[6437] numero 402: (308.85, 323.38) - 6 banchine
Porto[6418] numero 383: (631.72, 645.72) - 10 banchine
Porto[6419] numero 384: (875.19, 890.00) - 9 banchine
Porto[6427] numero 392: (475.15, 489.21) - 9 banchine
Porto[6428] numero 393: (159.70, 174.42) - 10 banchine
Porto[6429] numero 394: (237.93, 252.99) - 8 banchine
Porto[6438] numero 403: (373.78, 388.67) - 9 banchine
Porto[6430] numero 395: (87.18, 102.76) - 9 banchine
Porto[6439] numero 404: (649.32, 686.26) - 10 banchine
Porto[6431] numero 396: (447.85, 462.99) - 10 banchine
Porto[6403] numero 368: (513.27, 546.60) - 10 banchine
Porto[6440] numero 405: (632.52, 647.80) - 7 banchine
Porto[6404] numero 369: (814.04, 845.54) - 7 banchine
Porto[6442] numero 407: (578.51, 593.38) - 5 banchine
Porto[6443] numero 408: (393.97, 413.20) - 2 banchine
Porto[6444] numero 409: (963.27, 980.42) - 1 banchine
Porto[6405] numero 370: (980.53, 11.94) - 8 banchine
Porto[6397] numero 362: (628.70, 662.00) - 5 banchine
Porto[6406] numero 371: (400.26, 433.64) - 6 banchine
Porto[6463] numero 428: (254.70, 270.24) - 3 banchine
Porto[6460] numero 425: (387.05, 420.13) - 2 banchine
Porto[6468] numero 433: (602.13, 618.03) - 2 banchine
Porto[6486] numero 451: (690.21, 704.76) - 7 banchine
Porto[6449] numero 414: (308.70, 343.32) - 4 banchine
Porto[6420] numero 385: (804.04, 838.59) - 4 banchine
Porto[6469] numero 434: (26.50, 58.98) - 4 banchine
Porto[6503] numero 468: (44.55, 59.93) - 9 banchine
Porto[6450] numero 415: (570.42, 604.47) - 10 banchine
Porto[6462] numero 427: (508.88, 543.57) - 5 banchine
Porto[6520] numero 485: (355.30, 371.42) - 2 banchine
Porto[6475] numero 440: (720.47, 754.54) - 4 banchine
Porto[6496] numero 461: (315.55, 330.45) - 4 banchine
Porto[6423] numero 388: (20.16, 53.25) - 6 banchine
Porto[6451] numero 416: (604.45, 619.83) - 3 banchine
Porto[6424] numero 389: (303.56, 319.41) - 3 banchine
Porto[6461] numero 426: (416.91, 432.77) - 9 banchine
Porto[6425] numero 390: (177.14, 192.87) - 5 banchine
Porto[6448] numero 413: (461.00, 478.44) - 5 banchine
Porto[6426] numero 391: (695.76, 711.12) - 6 banchine
Porto[6452] numero 417: (674.39, 689.77) - 1 banchine
Porto[6422] numero 387: (922.41, 956.92) - 4 banchine
Porto[6447] numero 412: (819.70, 852.50) - 4 banchine
Porto[6421] numero 386: (793.73, 826.49) - 4 banchine
Porto[6456] numero 421: (908.76, 923.60) - 9 banchine
Porto[6464] numero 429: (800.87, 816.30) - 5 banchine
Porto[6453] numero 418: (308.41, 323.44) - 5 banchine
Porto[6474] numero 439: (546.99, 563.19) - 5 banchine
Porto[6457] numero 422: (671.42, 687.07) - 1 banchine
Porto[6466] numero 431: (427.88, 443.89) - 2 banchine
Porto[6455] numero 420: (376.03, 391.53) - 7 banchine
Porto[6472] numero 437: (87.57, 103.83) - 8 banchine
Porto[6446] numero 411: (15.28, 30.45) - 3 banchine
Porto[6445] numero 410: (190.00, 205.29) - 10 banchine
Porto[6454] numero 419: (919.63, 934.45) - 3 banchine
Porto[6470] numero 435: (564.42, 595.76) - 8 banchine
Porto[6465] numero 430: (600.71, 614.92) - 6 banchine
Porto[6471] numero 436: (607.65, 621.42) - 5 banchine
Porto[6473] numero 438: (509.27, 523.31) - 1 banchine
Porto[6458] numero 423: (236.35, 250.67) - 3 banchine
Porto[6467] numero 432: (455.48, 471.14) - 8 banchine
Porto[6459] numero 424: (166.11, 180.80) - 7 banchine
Porto[6476] numero 441: (727.79, 760.31) - 3 banchine
Porto[6477] numero 442: (92.46, 107.08) - 5 banchine
Porto[6487] numero 452: (349.36, 363.89) - 3 banchine
Porto[6480] numero 445: (269.30, 302.52) - 9 banchine
Porto[6488] numero 453: (647.32, 662.04) - 4 banchine
Porto[6481] numero 446: (845.31, 859.60) - 7 banchine
Porto[6489] numero 454: (272.87, 286.89) - 2 banchine
Porto[6490] numero 455: (81.35, 238.47) - 2 banchine
Porto[6484] numero 449: (127.10, 142.62) - 7 banchine
Porto[6485] numero 450: (231.89, 246.28) - 1 banchine
Porto[6506] numero 471: (79.02, 96.59) - 2 banchine
Porto[6492] numero 457: (337.22, 355.14) - 3 banchine
Porto[6507] numero 472: (775.02, 814.97) - 3 banchine
Porto[6498] numero 463: (390.43, 427.00) - 2 banchine
Porto[6508] numero 473: (541.40, 558.55) - 10 banchine
Porto[6499] numero 464: (79.07, 113.80) - 4 banchine
Porto[6509] numero 474: (40.92, 78.67) - 9 banchine
Porto[6500] numero 465: (374.86, 391.50) - 10 banchine
Porto[6510] numero 475: (408.81, 425.83) - 5 banchine
Porto[6501] numero 466: (89.48, 105.87) - 8 banchine
